%% LaTeX2e file `InlineSpeedupFigures.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2016/03/03.
%%
MatrixName,CSRDUVIandsBZIP,CSRVIandsBZIP,CSRDUandsBZIP,CSRandsBZIP
ca2010,2.13,1.94,2.21,1.93
circuit5M_dc,7.31,4.71,6.65,4.53
degme,4.84,4.49,5.57,4.26
ESOC,1.93,1.89,2.23,2.1
exdata_1,4.1,3.53,2.67,2.01
fl2010,2.2,2.07,2.17,2.08
Freescale1,7.94,4.46,7.53,4.53
G3_circuit,10.83,5.21,10.43,4.87
Ga41As41H72,4.61,4.19,4.18,3.56
GL7d15,3.43,3.12,3.39,3.14
GL7d16,2.98,3.06,3.38,2.96
GL7d17,2.96,2.9,3.03,2.81
GL7d21,2.78,2.68,3.07,2.86
GL7d22,2.7,2.57,2.82,2.75
Hamrle3,12.19,7.87,12.46,7.15
human_gene1,3.74,3.17,3.4,2.83
kron_g500-logn16,4.56,3.6,4.6,3.61
kron_g500-logn17,4.19,3.23,4.12,3.08
kron_g500-logn18,4.3,3.2,4.45,3.14
largebasis,12.12,7.77,12.79,7.88
LargeRegFile,6.83,5,6.63,4.53
memchip,9.3,4.75,7.75,4.71
nlpkkt80,21.63,6.11,16.13,5.86
pre2,4.56,3.1,4.52,3.14
rajat30,7.06,4.55,7.16,3.61
rajat31,9.95,4.8,9.51,4.57
Rucci1,8.23,5.24,9.07,4.59
Si41Ge41H72,6.24,5.3,5.74,5.01
Si87H76,5.32,5.23,5.32,4.88
SiO2,6.66,5.41,6.59,4.82
TF17,1.87,2.67,2.44,2.14
TF18,3.6,2.72,3.06,3.07
tp-6,6,3.75,4.82,3.62
transient,3.58,2.67,3.51,2.75
